user_id,car_type,service_type,booking_day_of_week,booking_hour,lead_time_days,previous_missed_appointments,no_show,payment_method,first_time_user,discount_applied,distance_to_station_km,preferred_time_slot,device_used,referral_source,booking_channel,service_duration_minutes,rating_previous_service,wait_time_last_booking_min,account_age_days,cancellation_count
user_27,truck,oil_change,Saturday,15.0,20.0,4.0,0,cash,yes,,2.35,evening,desktop,instagram,web,35.0,2.7,56.0,705.0,2.0
user_28,suv,engine_diagnostics,,6.0,26.0,5.0,1,wallet,0,,20.72,afternoon,tablet,,,44.0,3.5,54.0,88.0,5.0
user_29,suv,tire_rotation,Saturday,11.0,28.0,0.0,1,transfer,yes,,27.31,afternoon,mobile,friend,,68.0,2.2,14.0,930.0,
user_30,,oil_change,Saturday,17.0,25.0,2.0,1,,1,NEW10,19.88,afternoon,tablet,instagram,web,,2.5,51.0,217.0,5.0
user_31,truck,engine_diagnostics,Friday,,10.0,2.0,0,transfer,yes,,26.82,afternoon,tablet,instagram,web,76.0,3.2,,309.0,1.0
user_32,suv,tire_rotation,Thursday,19.0,10.0,,0,cash,0,SUMMER20,28.5,morning,desktop,twitter,web,98.0,1.7,0.0,,4.0
user_33,truck,tire_rotation,Friday,12.0,11.0,5.0,0,transfer,1,,17.84,morning,desktop,google,mobile_app,49.0,1.0,7.0,87.0,5.0
user_34,truck,brake_repair,Sunday,9.0,6.0,4.0,1,wallet,yes,SUMMER20,20.82,afternoon,desktop,instagram,,94.0,3.3,39.0,,0.0
user_35,suv,brake_repair,Wednesday,18.0,1.0,1.0,1,wallet,1,LOYALTY15,17.82,morning,tablet,twitter,web,77.0,,43.0,810.0,
user_36,,oil_change,Thursday,7.0,20.0,1.0,1,cash,1,LOYALTY15,15.85,afternoon,mobile,,mobile_app,,2.2,11.0,791.0,2.0
user_37,suv,engine_diagnostics,,11.0,16.0,2.0,0,card,0,LOYALTY15,27.05,afternoon,mobile,,mobile_app,32.0,,46.0,483.0,1.0
user_38,truck,engine_diagnostics,Monday,19.0,,1.0,0,card,0,NEW10,,evening,mobile,instagram,,,3.0,31.0,135.0,0.0
user_39,sedan,tire_rotation,Tuesday,14.0,3.0,2.0,1,transfer,0,SUMMER20,24.58,,desktop,google,,74.0,4.5,,526.0,0.0
user_40,suv,oil_change,Friday,6.0,19.0,,1,wallet,yes,,,afternoon,tablet,,,55.0,2.2,13.0,963.0,2.0
user_41,suv,oil_change,Thursday,6.0,24.0,5.0,1,card,no,,14.71,evening,desktop,google,whatsapp,70.0,,23.0,575.0,2.0
user_42,sedan,oil_change,Thursday,16.0,17.0,,1,transfer,0,SUMMER20,,evening,tablet,instagram,web,38.0,4.1,25.0,553.0,2.0
user_43,sedan,oil_change,Thursday,invalid,13.0,5.0,0,transfer,,LOYALTY15,27.25,morning,desktop,,web,,4.0,48.0,938.0,5.0
user_44,sedan,engine_diagnostics,Tuesday,invalid,4.0,0.0,1,cash,0,NEW10,20.39,evening,,friend,mobile_app,66.0,1.2,36.0,279.0,0.0
user_45,sedan,engine_diagnostics,Wednesday,14.0,24.0,1.0,0,card,1,LOYALTY15,7.24,afternoon,desktop,,web,78.0,3.5,,138.0,3.0
user_46,truck,brake_repair,Thursday,16.0,28.0,4.0,0,card,yes,NEW10,20.03,afternoon,desktop,friend,whatsapp,45.0,1.8,,675.0,3.0
user_47,sedan,oil_change,Friday,10.0,-19.0,5.0,0,transfer,0,SUMMER20,18.45,morning,tablet,google,web,104.0,4.2,13.0,337.0,5.0
user_48,truck,,Sunday,9.0,8.0,1.0,1,transfer,,SUMMER20,2.65,evening,desktop,instagram,web,49.0,1.7,,732.0,4.0
user_49,sedan,tire_rotation,Sunday,invalid,28.0,5.0,1,wallet,no,SUMMER20,8.24,evening,mobile,friend,mobile_app,113.0,,30.0,392.0,0.0
user_50,sedan,tire_rotation,Friday,16.0,30.0,2.0,0,wallet,yes,NEW10,,evening,mobile,instagram,mobile_app,86.0,4.4,59.0,302.0,
user_51,suv,brake_repair,Friday,,18.0,1.0,1,cash,1,SUMMER20,21.31,morning,desktop,,web,50.0,,9.0,120.0,4.0
user_52,suv,,Tuesday,,4.0,4.0,0,wallet,no,,4.74,morning,mobile,twitter,,51.0,2.7,12.0,68.0,4.0
user_53,sedan,engine_diagnostics,Monday,6.0,22.0,4.0,1,card,no,NEW10,23.15,morning,desktop,google,mobile_app,65.0,4.6,12.0,149.0,1.0
user_54,sedan,tire_rotation,Monday,11.0,10.0,2.0,1,cash,yes,SUMMER20,24.99,morning,tablet,,whatsapp,74.0,2.2,42.0,155.0,3.0
user_55,suv,tire_rotation,Thursday,8.0,-20.0,1.0,1,transfer,,,0.72,morning,mobile,instagram,web,37.0,,46.0,,1.0
user_56,sedan,tire_rotation,Wednesday,8.0,-13.0,1.0,1,,yes,NEW10,,morning,desktop,google,web,91.0,,14.0,442.0,5.0
user_57,sedan,oil_change,Thursday,7.0,27.0,0.0,0,cash,1,LOYALTY15,0.61,afternoon,desktop,instagram,web,53.0,2.2,59.0,699.0,5.0
user_58,suv,tire_rotation,Thursday,invalid,14.0,1.0,0,card,,SUMMER20,,morning,mobile,friend,mobile_app,77.0,4.7,11.0,509.0,3.0
user_59,truck,tire_rotation,Tuesday,19.0,21.0,0.0,0,card,yes,,2.02,,desktop,,web,115.0,,11.0,268.0,3.0
user_60,suv,oil_change,Tuesday,9.0,25.0,3.0,1,wallet,no,SUMMER20,26.77,,desktop,twitter,whatsapp,68.0,1.9,12.0,643.0,0.0
user_61,sedan,oil_change,Sunday,12.0,12.0,4.0,0,transfer,yes,LOYALTY15,8.24,evening,desktop,friend,mobile_app,90.0,3.1,,78.0,0.0
user_62,sedan,engine_diagnostics,Monday,19.0,23.0,3.0,0,wallet,no,SUMMER20,5.83,morning,tablet,,web,,4.3,58.0,,5.0
user_63,truck,oil_change,,6.0,13.0,0.0,0,card,,LOYALTY15,,,mobile,twitter,whatsapp,79.0,2.4,,282.0,
user_64,truck,engine_diagnostics,Monday,14.0,18.0,,1,card,yes,,29.56,afternoon,tablet,,web,114.0,1.9,53.0,13.0,4.0
user_65,sedan,engine_diagnostics,Saturday,9.0,22.0,2.0,0,wallet,1,,14.72,,desktop,,whatsapp,43.0,1.7,33.0,798.0,2.0
user_66,truck,engine_diagnostics,Tuesday,15.0,15.0,0.0,1,transfer,no,,,afternoon,tablet,,whatsapp,37.0,,33.0,818.0,5.0
user_67,sedan,brake_repair,Saturday,12.0,25.0,3.0,1,wallet,yes,NEW10,11.28,morning,mobile,google,mobile_app,64.0,,46.0,715.0,3.0
user_68,suv,oil_change,Sunday,8.0,29.0,0.0,1,wallet,no,NEW10,3.94,evening,mobile,twitter,mobile_app,117.0,2.0,25.0,700.0,
user_69,sedan,oil_change,Tuesday,6.0,19.0,3.0,0,wallet,yes,,29.37,morning,tablet,friend,web,78.0,2.1,48.0,732.0,2.0
user_70,truck,brake_repair,Wednesday,invalid,3.0,1.0,0,,,NEW10,24.12,evening,desktop,instagram,web,49.0,4.5,43.0,276.0,
user_71,truck,engine_diagnostics,Tuesday,18.0,21.0,2.0,0,cash,no,NEW10,29.54,afternoon,mobile,friend,mobile_app,30.0,2.5,30.0,340.0,0.0
user_72,sedan,engine_diagnostics,Wednesday,8.0,5.0,2.0,1,,no,,27.06,evening,desktop,twitter,web,49.0,3.4,9.0,725.0,2.0
user_73,truck,tire_rotation,Sunday,18.0,3.0,1.0,0,wallet,no,NEW10,1.64,evening,mobile,friend,mobile_app,76.0,4.4,41.0,160.0,4.0
user_74,truck,engine_diagnostics,Monday,16.0,12.0,2.0,0,wallet,no,SUMMER20,0.52,afternoon,,friend,,94.0,2.4,13.0,733.0,2.0
user_75,truck,,,15.0,14.0,5.0,1,card,1,SUMMER20,22.41,afternoon,desktop,instagram,whatsapp,38.0,,26.0,987.0,
user_76,truck,oil_change,Friday,18.0,10.0,2.0,1,cash,0,NEW10,20.03,evening,tablet,,,116.0,1.4,38.0,861.0,4.0
user_77,sedan,,Thursday,6.0,11.0,,0,wallet,,NEW10,2.46,evening,tablet,instagram,whatsapp,,,58.0,373.0,
user_78,sedan,engine_diagnostics,Sunday,19.0,22.0,2.0,0,card,yes,LOYALTY15,26.26,afternoon,desktop,friend,whatsapp,111.0,3.1,31.0,832.0,4.0
user_79,truck,oil_change,Thursday,7.0,3.0,1.0,0,transfer,yes,,3.17,evening,desktop,google,,68.0,1.6,13.0,732.0,5.0
user_80,suv,,Monday,18.0,8.0,4.0,1,wallet,1,SUMMER20,,evening,,friend,mobile_app,56.0,2.4,29.0,319.0,0.0
user_81,suv,engine_diagnostics,Wednesday,13.0,23.0,1.0,1,wallet,yes,NEW10,20.22,afternoon,desktop,google,mobile_app,84.0,4.4,26.0,713.0,
user_82,sedan,brake_repair,Tuesday,20.0,-9.0,,1,transfer,no,,,evening,,,whatsapp,57.0,2.2,,97.0,0.0
user_83,truck,brake_repair,,,11.0,3.0,0,cash,no,NEW10,,morning,mobile,instagram,web,47.0,,6.0,90.0,4.0
user_84,sedan,engine_diagnostics,Thursday,7.0,6.0,4.0,0,card,,,,evening,desktop,,mobile_app,92.0,4.6,0.0,447.0,5.0
user_85,truck,oil_change,Friday,14.0,5.0,3.0,1,cash,0,LOYALTY15,1.48,,tablet,,mobile_app,83.0,2.4,,756.0,1.0
user_86,truck,,Thursday,14.0,9.0,,1,cash,yes,SUMMER20,15.28,,mobile,instagram,whatsapp,92.0,4.6,0.0,459.0,
user_87,sedan,engine_diagnostics,Thursday,18.0,6.0,4.0,0,transfer,0,,1.63,morning,,friend,mobile_app,78.0,1.3,40.0,,2.0
user_88,suv,tire_rotation,Wednesday,6.0,17.0,2.0,1,card,no,,4.22,morning,tablet,friend,mobile_app,43.0,,44.0,705.0,0.0
user_89,suv,tire_rotation,Wednesday,20.0,,5.0,1,cash,0,,24.05,evening,mobile,friend,web,49.0,4.7,23.0,,0.0
user_90,suv,,Monday,10.0,5.0,0.0,0,wallet,1,SUMMER20,,evening,,,mobile_app,,2.0,13.0,819.0,0.0
user_91,sedan,tire_rotation,Monday,,7.0,1.0,1,cash,no,SUMMER20,29.23,afternoon,desktop,twitter,web,62.0,3.2,27.0,774.0,5.0
user_92,truck,,Wednesday,19.0,,1.0,1,transfer,1,,9.78,afternoon,tablet,instagram,whatsapp,84.0,2.0,6.0,424.0,2.0
user_93,,oil_change,Sunday,8.0,-2.0,5.0,0,cash,1,NEW10,4.6,afternoon,tablet,,whatsapp,76.0,2.5,26.0,473.0,4.0
user_94,suv,brake_repair,Wednesday,13.0,,,1,card,yes,SUMMER20,1.47,afternoon,mobile,friend,web,37.0,3.5,18.0,,1.0
user_95,sedan,engine_diagnostics,Friday,19.0,7.0,4.0,1,,1,,,morning,desktop,google,web,89.0,4.1,19.0,73.0,
user_96,truck,oil_change,Wednesday,16.0,27.0,4.0,1,card,0,NEW10,10.54,evening,tablet,google,whatsapp,92.0,,,790.0,2.0
user_97,sedan,brake_repair,Saturday,,17.0,,1,card,no,SUMMER20,26.72,evening,,google,web,39.0,,32.0,352.0,2.0
user_98,truck,tire_rotation,Saturday,19.0,4.0,4.0,0,cash,,,3.33,afternoon,tablet,,web,118.0,2.8,8.0,438.0,1.0
user_99,sedan,engine_diagnostics,Sunday,7.0,15.0,1.0,0,cash,no,LOYALTY15,18.25,,mobile,google,mobile_app,71.0,1.1,19.0,122.0,1.0
user_100,suv,tire_rotation,Thursday,12.0,17.0,2.0,0,card,no,SUMMER20,,morning,desktop,,mobile_app,104.0,3.9,27.0,,4.0
user_101,truck,brake_repair,Tuesday,invalid,22.0,,0,,1,SUMMER20,26.02,afternoon,desktop,twitter,web,73.0,4.0,11.0,117.0,
user_102,sedan,engine_diagnostics,Wednesday,7.0,4.0,4.0,0,wallet,1,,6.82,morning,desktop,twitter,mobile_app,,4.0,18.0,486.0,2.0
user_103,truck,brake_repair,Wednesday,10.0,20.0,4.0,0,wallet,0,NEW10,6.68,afternoon,,twitter,web,85.0,4.1,11.0,917.0,3.0
user_104,truck,tire_rotation,Monday,13.0,5.0,4.0,1,,0,LOYALTY15,25.67,morning,tablet,friend,mobile_app,36.0,3.6,33.0,383.0,0.0
user_105,suv,brake_repair,Thursday,14.0,0.0,,1,wallet,0,,3.41,morning,,instagram,,120.0,,27.0,933.0,4.0
user_106,sedan,engine_diagnostics,Friday,12.0,7.0,1.0,1,wallet,1,,14.08,afternoon,desktop,,,34.0,,56.0,,
user_107,truck,,Tuesday,invalid,13.0,3.0,0,transfer,,LOYALTY15,20.32,,mobile,friend,,,2.2,2.0,218.0,
user_108,,engine_diagnostics,Sunday,18.0,30.0,4.0,1,,yes,LOYALTY15,26.88,morning,mobile,google,,,3.9,32.0,511.0,4.0
user_109,suv,brake_repair,Wednesday,invalid,20.0,1.0,0,card,0,NEW10,25.07,evening,tablet,,mobile_app,82.0,4.3,46.0,204.0,1.0
user_110,suv,engine_diagnostics,Friday,13.0,12.0,4.0,1,card,yes,SUMMER20,20.1,afternoon,desktop,instagram,whatsapp,73.0,1.3,40.0,23.0,3.0
user_111,suv,brake_repair,Friday,19.0,-7.0,0.0,1,cash,no,LOYALTY15,,morning,desktop,twitter,whatsapp,36.0,1.8,48.0,366.0,3.0
user_112,sedan,engine_diagnostics,Wednesday,13.0,10.0,4.0,0,transfer,yes,LOYALTY15,,evening,tablet,friend,,43.0,,57.0,996.0,0.0
user_113,sedan,tire_rotation,Wednesday,14.0,9.0,2.0,1,card,yes,SUMMER20,19.95,,desktop,instagram,mobile_app,,4.8,60.0,91.0,1.0
user_114,sedan,tire_rotation,Friday,8.0,23.0,5.0,0,cash,yes,NEW10,16.35,evening,mobile,google,mobile_app,65.0,4.1,40.0,166.0,5.0
user_115,suv,engine_diagnostics,Sunday,16.0,28.0,1.0,0,wallet,1,SUMMER20,8.07,morning,mobile,friend,web,101.0,4.5,15.0,275.0,2.0
user_116,truck,tire_rotation,,9.0,7.0,0.0,1,cash,,SUMMER20,25.37,afternoon,mobile,friend,web,72.0,3.9,2.0,875.0,4.0
user_117,sedan,engine_diagnostics,Wednesday,8.0,,5.0,1,cash,yes,LOYALTY15,,evening,desktop,friend,mobile_app,118.0,1.3,18.0,873.0,4.0
user_118,suv,engine_diagnostics,Wednesday,6.0,0.0,4.0,0,transfer,no,,8.39,,mobile,google,web,99.0,1.8,22.0,455.0,1.0
user_119,,tire_rotation,Friday,15.0,9.0,3.0,1,transfer,0,SUMMER20,17.64,afternoon,tablet,twitter,whatsapp,58.0,3.0,14.0,681.0,5.0
user_120,,,Sunday,10.0,14.0,4.0,0,cash,no,LOYALTY15,16.44,evening,tablet,friend,whatsapp,,2.9,59.0,29.0,0.0
user_121,suv,engine_diagnostics,Friday,10.0,29.0,,0,card,yes,,27.55,evening,mobile,friend,web,48.0,5.0,41.0,286.0,2.0
user_122,truck,brake_repair,Thursday,19.0,29.0,1.0,0,wallet,1,SUMMER20,27.44,morning,tablet,friend,,76.0,3.7,52.0,596.0,1.0
user_123,sedan,brake_repair,Thursday,19.0,,0.0,0,wallet,1,SUMMER20,18.33,evening,tablet,twitter,web,88.0,3.4,0.0,365.0,
user_124,sedan,tire_rotation,Tuesday,,,2.0,1,wallet,yes,NEW10,27.22,morning,desktop,friend,whatsapp,115.0,3.6,0.0,30.0,0.0
user_125,,brake_repair,Wednesday,10.0,5.0,0.0,0,wallet,0,NEW10,1.29,afternoon,,instagram,whatsapp,69.0,2.1,6.0,190.0,2.0
user_126,truck,,Tuesday,,0.0,,1,card,0,,16.72,afternoon,tablet,instagram,web,54.0,,15.0,,
user_127,sedan,engine_diagnostics,Saturday,13.0,6.0,5.0,1,wallet,1,,,afternoon,desktop,instagram,whatsapp,,4.0,52.0,,4.0
user_128,sedan,oil_change,Monday,7.0,25.0,5.0,0,wallet,yes,SUMMER20,19.36,evening,,google,web,118.0,,39.0,372.0,4.0
user_129,suv,engine_diagnostics,Monday,14.0,12.0,2.0,0,card,no,SUMMER20,24.8,evening,mobile,instagram,whatsapp,34.0,1.8,25.0,422.0,1.0
user_130,,tire_rotation,Tuesday,15.0,5.0,0.0,1,wallet,0,SUMMER20,12.75,evening,,,web,53.0,,21.0,492.0,4.0
user_131,,tire_rotation,Friday,13.0,17.0,0.0,1,wallet,yes,LOYALTY15,21.66,afternoon,tablet,instagram,whatsapp,68.0,2.1,2.0,91.0,2.0
user_132,truck,brake_repair,Sunday,20.0,27.0,4.0,0,transfer,yes,NEW10,27.16,afternoon,tablet,google,mobile_app,83.0,4.5,42.0,957.0,3.0
user_133,truck,tire_rotation,Wednesday,18.0,,5.0,1,card,1,NEW10,4.12,evening,,instagram,mobile_app,58.0,2.1,26.0,,0.0
user_134,suv,engine_diagnostics,Thursday,18.0,-12.0,2.0,1,transfer,1,,26.08,morning,tablet,google,mobile_app,105.0,2.9,29.0,,0.0
user_135,,brake_repair,Monday,14.0,14.0,0.0,0,wallet,0,NEW10,1.19,afternoon,tablet,twitter,mobile_app,116.0,,18.0,27.0,2.0
user_136,truck,,Friday,12.0,14.0,2.0,0,transfer,yes,,27.34,morning,tablet,google,web,,2.9,59.0,151.0,1.0
user_137,suv,brake_repair,Monday,13.0,13.0,0.0,0,transfer,no,,10.48,morning,tablet,google,whatsapp,74.0,,8.0,916.0,0.0
user_138,sedan,engine_diagnostics,Wednesday,19.0,27.0,3.0,0,,0,,3.0,evening,,twitter,whatsapp,112.0,2.1,17.0,,4.0
user_139,suv,engine_diagnostics,Thursday,20.0,19.0,1.0,1,cash,,,12.98,afternoon,mobile,google,whatsapp,40.0,,,787.0,0.0
user_140,suv,engine_diagnostics,Saturday,14.0,22.0,5.0,0,card,0,SUMMER20,12.52,morning,tablet,twitter,whatsapp,,,,953.0,
user_141,sedan,brake_repair,,9.0,13.0,0.0,0,cash,no,NEW10,27.74,morning,desktop,friend,web,117.0,3.6,60.0,,1.0
user_142,sedan,,Monday,7.0,3.0,5.0,0,transfer,0,SUMMER20,6.53,evening,desktop,friend,whatsapp,38.0,4.2,19.0,215.0,5.0
user_143,,tire_rotation,Tuesday,8.0,,2.0,1,card,yes,NEW10,19.6,afternoon,mobile,,whatsapp,42.0,4.8,38.0,736.0,0.0
user_144,sedan,brake_repair,Tuesday,6.0,20.0,3.0,0,transfer,,LOYALTY15,7.38,evening,desktop,instagram,whatsapp,67.0,2.3,37.0,,1.0
user_145,suv,engine_diagnostics,Saturday,12.0,25.0,4.0,1,card,0,SUMMER20,,afternoon,desktop,google,whatsapp,34.0,1.8,5.0,903.0,4.0
user_146,truck,oil_change,Saturday,18.0,10.0,2.0,1,wallet,yes,LOYALTY15,3.29,morning,tablet,,web,46.0,,0.0,352.0,
user_147,sedan,engine_diagnostics,Saturday,,12.0,2.0,0,cash,1,LOYALTY15,25.49,evening,mobile,friend,whatsapp,118.0,2.7,15.0,17.0,3.0
user_148,truck,brake_repair,Sunday,6.0,0.0,5.0,0,wallet,no,,17.79,morning,desktop,,mobile_app,49.0,1.8,24.0,598.0,0.0
user_149,sedan,brake_repair,,19.0,17.0,2.0,1,transfer,0,NEW10,8.4,,tablet,instagram,mobile_app,99.0,3.1,4.0,120.0,2.0
user_150,sedan,oil_change,Wednesday,19.0,24.0,3.0,1,cash,yes,NEW10,3.69,evening,tablet,friend,web,32.0,1.1,46.0,836.0,
user_151,sedan,engine_diagnostics,Tuesday,16.0,1.0,,0,cash,0,LOYALTY15,2.72,afternoon,mobile,friend,mobile_app,63.0,4.5,6.0,307.0,3.0
user_152,sedan,tire_rotation,Tuesday,19.0,17.0,5.0,1,transfer,no,NEW10,3.06,afternoon,desktop,twitter,whatsapp,62.0,,17.0,374.0,4.0
user_153,sedan,tire_rotation,Sunday,11.0,21.0,4.0,0,card,yes,SUMMER20,12.17,morning,tablet,twitter,mobile_app,82.0,3.8,19.0,679.0,0.0
user_154,sedan,tire_rotation,Tuesday,11.0,7.0,4.0,1,transfer,yes,NEW10,18.76,evening,mobile,,web,39.0,4.6,4.0,217.0,4.0
user_155,,brake_repair,Saturday,,29.0,5.0,1,wallet,0,,22.67,morning,,friend,web,117.0,2.9,26.0,895.0,
user_156,suv,oil_change,Thursday,16.0,,2.0,0,wallet,yes,,30.0,evening,mobile,friend,whatsapp,88.0,3.7,6.0,,
user_157,sedan,oil_change,Thursday,14.0,,4.0,1,card,1,LOYALTY15,13.56,afternoon,desktop,friend,whatsapp,56.0,2.2,54.0,551.0,4.0
user_158,sedan,tire_rotation,Monday,16.0,12.0,5.0,0,cash,yes,,8.17,morning,desktop,twitter,,49.0,3.3,36.0,870.0,0.0
user_159,suv,tire_rotation,Sunday,17.0,7.0,2.0,0,cash,1,,,afternoon,desktop,,web,,1.7,9.0,217.0,4.0
user_160,sedan,tire_rotation,,9.0,,2.0,1,,no,,29.76,morning,desktop,friend,whatsapp,70.0,,30.0,860.0,3.0
user_161,suv,engine_diagnostics,Thursday,7.0,27.0,2.0,1,wallet,,LOYALTY15,4.95,morning,desktop,,web,,,32.0,665.0,1.0
user_162,suv,brake_repair,Monday,9.0,11.0,5.0,1,cash,yes,SUMMER20,12.08,afternoon,,twitter,mobile_app,83.0,1.3,28.0,5.0,2.0
user_163,suv,oil_change,Wednesday,invalid,,0.0,0,wallet,yes,,2.22,morning,tablet,,whatsapp,30.0,4.9,11.0,,2.0
user_164,suv,oil_change,Thursday,10.0,19.0,1.0,0,card,0,LOYALTY15,29.36,,mobile,twitter,mobile_app,55.0,1.3,33.0,715.0,5.0
user_165,truck,engine_diagnostics,Monday,10.0,2.0,,0,wallet,no,LOYALTY15,9.61,morning,desktop,,web,31.0,3.3,1.0,463.0,2.0
user_166,truck,tire_rotation,Friday,12.0,14.0,0.0,1,wallet,1,SUMMER20,28.97,afternoon,desktop,friend,mobile_app,64.0,2.6,25.0,,5.0
user_167,truck,oil_change,Thursday,8.0,7.0,5.0,1,wallet,0,SUMMER20,,morning,,twitter,web,,3.0,57.0,493.0,4.0
user_168,sedan,tire_rotation,Monday,8.0,11.0,2.0,0,cash,no,,15.4,evening,mobile,google,web,36.0,4.4,59.0,431.0,0.0
user_169,sedan,oil_change,Sunday,12.0,,1.0,0,card,no,SUMMER20,3.89,evening,mobile,google,web,34.0,2.0,53.0,389.0,4.0
user_170,sedan,oil_change,Thursday,invalid,11.0,4.0,0,card,1,SUMMER20,8.5,morning,,twitter,mobile_app,41.0,,19.0,910.0,4.0
user_171,sedan,tire_rotation,Wednesday,18.0,,,0,transfer,,NEW10,8.91,afternoon,mobile,friend,web,113.0,3.3,29.0,554.0,2.0
user_172,truck,engine_diagnostics,Saturday,6.0,26.0,1.0,1,card,,SUMMER20,24.34,evening,tablet,friend,whatsapp,67.0,,36.0,604.0,2.0
user_173,,oil_change,Friday,10.0,-23.0,2.0,0,card,no,,28.29,morning,mobile,google,whatsapp,53.0,4.3,39.0,439.0,4.0
user_174,truck,oil_change,Friday,8.0,9.0,0.0,0,cash,0,,16.89,,mobile,,mobile_app,94.0,2.8,28.0,910.0,2.0
user_175,truck,oil_change,Thursday,11.0,26.0,3.0,0,wallet,1,,12.03,afternoon,desktop,,web,69.0,2.8,,,1.0
user_176,truck,brake_repair,Sunday,16.0,22.0,4.0,1,,no,SUMMER20,19.05,evening,mobile,google,web,,2.6,11.0,497.0,0.0
user_177,suv,oil_change,Saturday,20.0,10.0,0.0,1,cash,0,SUMMER20,17.1,,mobile,google,web,90.0,4.8,12.0,538.0,3.0
